KT3D ESTIMATES WITH:  DataSet					                                              
 2   25   30    1  .10000000      .10000000      .00000000      10.0000      10.0000      1.00000       1
Estimate
EstimationVariance
 .29474520      6.7203990    
 .12630890      2.0137590    
 .46449460      6.1983570    
 .15803070      1.7630840    
 1.0137570      6.5872210    
 .20569780      1.5400250    
 1.5171680      5.0435710    
 1.2866170      1.7382730    
 2.0262920      5.7588620    
 .37873440      1.4610790    
 1.3830760      6.2711840    
 .87846100      2.7972650    
 1.6270780      6.6707500    
 1.4211370      2.0158400    
 3.1793100      6.2674290    
 2.1480950      7.1600260    
 1.9331540      5.6298740    
 1.7460440      6.3904540    
 2.2274140      4.1076050    
 6.4290620      .57456920    
 9.9499400      1.9689070    
 10.079320      1.7801050    
 5.0842600      1.7936090    
 .44013760      1.4767230    
 .22650600      5.9181670    
 .10492660      6.5253160    
 .30347170      4.8053310    
 .48941310      6.1885420    
 .83440020      5.1683720    
 1.6763220      6.4372770    
 2.1029660      4.5897360    
 2.6921750      3.2687130    
 3.9616440      2.1215700    
 1.6462370      2.6871800    
 1.9281320      5.4738840    
 1.5618210      6.3642900    
 1.8850520      5.8560220    
 3.0128000      6.3883810    
 3.5100820      4.9072630    
 3.8259340      6.1402190    
 2.0666790      7.1852250    
 1.7655160      2.3397110    
 1.5681150      6.5259900    
 .62230540      1.6374140    
 6.2580700      2.7611690    
 9.3612400      1.1330690    
 5.1913230      2.9054590    
 .82470820      2.8757960    
 .39551910      5.8238480    
 .30534510E-01  1.2028700    
 .43482790      6.3822520    
 .34101650      2.3006140    
 .97984240      6.0893050    
 1.6535170      3.2774730    
 3.2802800      5.5233330    
 3.5681040      3.2179690    
 5.2827180      2.0324370    
 6.1661630      .56798080    
 3.6504980      2.5419480    
 2.9708060      2.9755650    
 2.0822730      6.5459050    
 2.5945100      1.2038730    
 5.1894320      5.0766880    
 4.9545310      2.0866060    
 4.1489990      5.5327970    
 2.0158510      7.3336160    
 1.4222790      6.0755360    
 1.4525270      6.4904200    
 3.1154130      4.1999440    
 6.0835680      1.6142210    
 5.9179370      1.1210620    
 1.5693450      1.5055420    
 .64988170      5.3324340    
 .14840130      6.4159280    
 .19887920      5.3742880    
 .67511030      6.3920780    
 1.0256800      5.7433480    
 1.7162540      6.3826740    
 3.4676440      5.8527790    
 5.2397620      1.7516850    
 4.2850450      1.9973960    
 5.6547430      2.0447000    
 4.2118050      1.6858020    
 3.4184890      2.2808790    
 2.6074120      6.0123270    
 2.5896840      6.3597640    
 4.2569460      3.2201360    
 6.9541280      2.9700740    
 6.1732440      1.1003840    
 4.0025590      1.7700450    
 1.8129330      7.4572380    
 .88446610      1.2052900    
 1.4145160      6.0725100    
 2.5477350      3.1740150    
 4.5563520      5.5018470    
 3.8947290      1.7073920    
 1.7327980      5.6394210    
 .53657770E-01  2.3334870    
 .12134220      6.5518320    
 .34311290E-01  .58662280    
 .75241320      6.3697370    
 1.7226540      1.8366940    
 2.3318430      6.5379020    
 5.1090750      1.1957180    
 4.9757590      1.3727770    
 5.0762640      2.0322860    
 4.4036900      3.4640820    
 1.7715600      .58448810    
 2.2052210      6.1580460    
 1.9020770      2.0095220    
 2.8846050      6.2742430    
 5.3276820      2.2143320    
 5.3029160      3.1473780    
 6.1187380      2.4902220    
 4.3239060      2.6865970    
 1.6970510      7.4483510    
 1.0999450      5.4966170    
 1.4468280      6.1998350    
 2.1951210      5.7419140    
 3.6988440      6.0247340    
 3.8801160      5.4745410    
 1.9437070      5.9978180    
 .45344410      5.6531230    
 .19725660      6.4776120    
 .32476950      5.2139860    
 .74109980      6.4190360    
 1.2219550      5.3599690    
 2.3762920      6.5006540    
 3.0187110      4.9393390    
 1.4426510      1.4973530    
 3.2144840      1.1724180    
 1.8391590      1.9540980    
 1.2697850      5.0829530    
 1.6629940      6.4875770    
 1.8200940      4.8171650    
 2.7364350      6.4781290    
 3.5069010      5.6963590    
 3.5711440      1.9448750    
 3.3905620      1.5821350    
 1.7200500      1.4541310    
 1.5642740      7.5175090    
 .90682180      1.5437880    
 1.1707710      6.3195820    
 .68218150      .58538140    
 3.7361790      5.4373750    
 3.7726490      1.4996370    
 1.9712890      4.8830890    
 .17246770      2.9462700    
 .10771920      6.1185140    
 .22470140      3.2893270    
 .67201770      6.4067500    
 .57246200      2.3264430    
 2.0622070      6.5471950    
 1.2407310      2.1997260    
 1.8199420      5.6245290    
 2.1342550      1.7070800    
 1.3547880      5.4429660    
 .46560760      2.3355090    
 1.5634660      6.5555500    
 1.5253400      2.3058100    
 2.0463830      6.6254290    
 1.8079730      1.5389420    
 2.4584170      5.4772320    
 1.3354290      1.6406900    
 1.5231250      5.8063110    
 1.6888030      7.4982280    
 1.1260930      5.2964490    
 1.1299830      6.3813340    
 1.6836270      4.4313000    
 6.7085670      2.5687110    
 6.8802840      1.3481580    
 2.6424300      2.5717810    
 .76834610      5.2742530    
 .24946710      6.1247980    
 .38010910      5.4963680    
 .87149820      6.4584410    
 1.4949600      5.1745680    
 1.8049030      6.5140690    
 1.5598180      5.3511830    
 1.5155260      6.2774450    
 1.5187770      5.5391540    
 1.2040770      6.2958780    
 1.6070240      5.9057570    
 1.6283300      6.5980110    
 1.4831360      5.7897560    
 1.6211780      6.5024540    
 1.5859900      4.8246990    
 1.5118280      6.4734680    
 1.0454000      5.3019060    
 1.0545210      6.0903180    
 1.8427600      7.4038440    
 1.2781460      1.4642320    
 1.7262800      6.5358830    
 3.1379080      1.6443340    
 8.2375000      1.8861990    
 7.7460530      1.8872380    
 4.3319370      2.7817720    
 .25888510      2.1777320    
 .16241650      5.9709120    
 .37328090      3.2851550    
 1.2358270      6.4074610    
 1.9397270      2.9727910    
 1.8465080      6.2166380    
 1.5299910      3.2891100    
 1.3261880      6.3743780    
 .90554730      1.7608260    
 1.5720470      6.2536060    
 2.4624780      2.7940650    
 1.4625530      6.5023710    
 .95552270      1.8378920    
 1.1340090      6.1191430    
 1.2234510      3.7479760    
 1.0707260      6.7315940    
 .35171850      2.2180230    
 .72923780      6.0769350    
 1.9830760      7.2493820    
 1.6550980      5.0790640    
 2.3865630      6.7464020    
 4.7314520      4.4856870    
 7.2881990      2.0508460    
 4.8122250      2.7147000    
 1.5281130      1.7371090    
 .49609910      5.3225190    
 .31924000      6.1033020    
 .76726880      5.1986380    
 1.6916830      6.6895190    
 2.1822820      6.2492220    
 2.0265530      6.2974310    
 1.3069050      5.5324080    
 1.1416470      6.2100210    
 1.1812430      5.5555520    
 1.6901550      6.2911620    
 1.4892030      5.5362580    
 1.2043610      6.5174260    
 .71675430      5.5913690    
 1.0224720      6.3563630    
 .83455770      5.6016930    
 .89274780      6.8015830    
 .51558860      5.9997040    
 .63245460      6.2883250    
 2.1029590      6.8811020    
 1.9201420      3.8863070    
 2.5830620      7.0759480    
 2.4850220      1.6620240    
 4.3777020      5.7463080    
 1.9656030      1.5245980    
 .95816770      5.9727220    
 .20377730      2.2455170    
 .71776010      6.2314070    
 1.1263170      3.8860450    
 2.1040720      7.1321980    
 2.6149670      2.0270110    
 2.0035680      6.5879290    
 .92203810      2.2481940    
 1.2129670      6.3458570    
 1.1928060      2.8105130    
 1.5107610      6.4086990    
 .63268460      2.9934250    
 1.0013120      6.7176160    
 .21929960      1.8521630    
 .98410610      6.3848220    
 .60218920      3.3930430    
 .96867220      7.0297920    
 .10343500      1.2045900    
 .78976450      6.6888200    
